192.168.200.1|A2600-01|2|TIA-2600|
192.168.200.2|A2600-02|2|TIA-2600|
192.168.200.3|A2600-03|2|TIA-2600|
192.168.200.4|A2600-04|2|TIA-2600|
192.168.200.5|A2600-06|2|TIA-2600|
192.168.200.6|A2600-07|2|TIA-2600|
192.168.200.7|A2600-08|2|TIA-2600|
192.168.200.8|A2600-09|2|TIA-2600|
192.168.200.9|A2600-10|2|TIA-2600|
192.168.200.10|A2600-11|2|TIA-2600|
192.168.200.11|A2600-12|2|TIA-2600|
192.168.200.12|A2600-13|2|TIA-2600|
192.168.200.13|A2600-14|2|TIA-2600|
192.168.200.14|A2600-15|2|TIA-2600|
192.168.200.15|A2600-16|2|TIA-2600|
192.168.200.16|A2600-17|2|TIA-2600|
192.168.200.17|A2600-18|2|TIA-2600|
192.168.200.18|A2600-19|2|TIA-2600|
192.168.200.19|A2600-20|2|TIA-2600|
192.168.200.20|A2600-21|2|TIA-2600|
192.168.200.21|A2600-22|2|TIA-2600|
192.168.200.22|A2600-23|2|TIA-2600|
192.168.200.23|A2600-24|2|TIA-2600|
192.168.200.24|A2600-25|2|TIA-2600|
192.168.200.25|A2600-26|2|TIA-2600|
192.168.200.26|A2600-27|2|TIA-2600|
192.168.200.27|A2600-28|2|TIA-2600|
192.168.200.28|A2600-30|2|TIA-2600|
192.168.200.29|A2600-31|2|TIA-2600|
192.168.200.30|A2600-32|2|TIA-2600|
192.168.200.31|A2600-33|2|TIA-2600|
192.168.200.32|A2600-35|2|TIA-2600|
192.168.200.33|A2600-36|2|TIA-2600|
192.168.200.34|A2600-41|2|TIA-2600|
192.168.200.35|A2600-43|2|TIA-2600|
192.168.200.36|A2600-45|2|TIA-2600|
192.168.200.37|A2600-46|2|TIA-2600|
192.168.200.38|A2600-50|2|TIA-2600|
192.168.200.39|A2600-51|2|TIA-2600|
192.168.200.40|A2600-52|2|TIA-2600|
192.168.200.41|A2600-53|2|TIA-2600|
192.168.200.42|A2600-54|2|TIA-2600|
192.168.200.43|A2600-55|2|TIA-2600|
192.168.200.44|A2600-56|2|TIA-2600|
192.168.200.45|A3050-34|2|FTO-3050|
192.168.200.46|A3050-37|2|FTO-3050|
192.168.200.47|A3050-38|2|FTO-3050|
192.168.200.48|A3050-39|2|FTO-3050|
192.168.200.49|A3050-40|2|FTO-3050|
192.168.200.50|A3050-42|2|FTO-3050|
192.168.200.51|A3050-47|2|FTO-3050|
192.168.200.52|A3050-48|2|FTO-3050|
192.168.200.53|A3050-49|2|FTO-3050|
192.168.200.54|G103|-1|TFPG105|
192.168.200.55|GT-24|3|GT-1318P|
192.168.200.56|GT-25|3|GT-480P|
192.168.200.57|GT-26|3|GT-1318P|
192.168.200.58|GT-27|3|GT-480P|
192.168.200.59|GT-30|3|GT-1318P|
192.168.200.60|GT-31|3|GT-480P|
192.168.200.61|GT-32|3|GT-480P|
192.168.200.62|RS236-01|-1|236RDF2B|
192.168.200.63|RS236-02|-1|236RDF2K|
192.168.200.64|RS236-03|-1|236RDF2C|
192.168.200.65|RS236-04|-1|236RDF2D|
192.168.200.66|RS236-05|-1|236RDF2P|
192.168.200.67|RS236-06|-1|236RDF2G|
192.168.200.68|RS236-07|-1|236RDF2L|
192.168.200.69|RS236-08|-1|236RDF2F|
192.168.200.70|RS236-09|-1|236RDF2H|
192.168.200.71|RS236-10|-1|236RDF2E|
192.168.200.72|RS236-11|-1|236RDF2M|
192.168.200.73|RS236-12|-1|新機台測試|
192.168.200.74|S060-01|-1|ATS-060|
192.168.200.75|S060-03|-1|ATS-060|
192.168.200.76|S060-05|-1|ATS-060|
192.168.200.77|S060-05|-1|ATS-060|
192.168.200.78|S060-05|-1|ATS-060|
192.168.200.79|S060-06|-1|ATS-060|
192.168.200.80|S060-07|-1|ATS-060|
192.168.200.81|S060-08|-1|ATS-060|
192.168.200.82|S060-09|-1|ATS-060|
192.168.200.83|S060-10|-1|ATS-060|
192.168.200.84|S124-11|-1|ATS-124|
192.168.200.85|S124-12|-1|ATS-124|
192.168.200.86|S124-13|-1|ATS-124|
192.168.200.87|S124-14|-1|ATS-124|
192.168.200.88|S124-15|-1|ATS-124|
192.168.200.89|S124-16|-1|ATS-124|
192.168.200.90|S160-16|-1|ATS-160|
